1; "Inne"
2; "Literatura piękna"
3; "Hobby"
4; "Literatura faktu"
5; "Kalendarze"
6; "Nauka"
7; "Podręczniki"
8; "Sztuka"
9; "Sport"
10; "Religia"
11; "Encyklopedie"
12; "Zdrowie"
13; "AudioBooki"
14; "Biologia i przyroda"
15; "Chemia"
16; "Ekonomia i biznes"
17; "Fizyka"
18; "Geografia"
19; "Matematyka"
20; "Filozofia"
21; "Historia"
22; "Językoznawstwo"
23; "Kultura. Etnografia"
24; "Literaturoznawstwo"
25; "Pedagogika i oświata"
26; "Polityka"
27; "Prawo i administracja"
28; "Psychologia"
29; "Socjologia i społeczeństwo"
32; "Fantastyka"
33; "Historyczna"
34; "Przygodowa"
36; "Satyryczna"
37; "Sensacyjna"
38; "Obyczajowa"
39; "Poezja"
40; "Dramat"
41; "Dziecięca"
42; "Turystyka"
43; "Atlasy i mapy"
45; "Przewodniki"
46; "Dom"
47; "Ogród"
48; "Zwierzęta"
49; "Kolekcjonerstwo"
50; "Fotografia"
51; "Architektura"
53; "Muzyka"
54; "Poradniki"
55; "Informatyka"
56; "Programowanie"
57; "Bazy danych"
58; "Bezpieczeństwo"
59; "Sieci komputerowe"
60; "Internet"
61; "Grafika komputerowa"
62; "Sprzęt komputerowy"
63; "Technologie"
64; "Archeologia"
65; "Romanse"
66; "Dla dorosłych"
67; "Komiksy"
69; "CD, DVD, Video"
70; "CD-Audio"
71; "Video"
72; "DVD"
74; "Oprogramowanie"
76; "Medycyna"
77; "Czasopisma"
78; "Słowniki"
80; "Muzyka CD"
96; "Książkowe Klimaty"
97; "Zabawki"
98; "Puzzle, gry"